Year, 6M+, 1M to 6M Barrels, 500.001 to 1M Barrels, 100.000 to 500.000 Barrels, 60.001 to 100.000 Barrels, 30.001 to 60.000 Barrels, 15.001 to 30.000 Barrels, 7.501 to 15.000 Barrels, 1.001 to 7.500 Barrels, 1 to 1.000 Barrels
2007,17,3,10,24,20,34,26,41,356,909
2008,11,9,7,30,20,26,43,40,360,979
2009,18,4,7,27,19,32,40,42,357,1037
2010,17,5,9,32,16,38,40,51,428,1178
2011,16,14,11,41,16,43,42,63,513,1334
2012,17,8,7,39,20,50,44,77,564,1604
2013,17,8,7,38,24,52,51,81,645,1923
2014,15,11,6,44,20,62,62,102,730,2321
2015,15,10,7,49,24,56,71,133,851,2812
2016,14,11,6,45,38,53,75,148,935,3283
2017,15,9,10,40,41,53,99,152,1030,3646
2018,15,10,10,42,40,53,102,155,1132,4241
