Year, 6M+, 1M to 6M Barrels, 500.001 to 1M Barrels, 100.000 to 500.000 Barrels, 60.001 to 100.000 Barrels, 30.001 to 60.000 Barrels, 15.001 to 30.000 Barrels, 7.501 to 15.000 Barrels, 1.001 to 7.500 Barrels, 1 to 1.000 Barrels
2009,0.407733617,-0.836072741,-0.010240513,-0.232526885,-0.053656104,0.215047126,-0.000566421,0.047456287,0.009646898,0.049102271
2010,-0.06109236,0.54966325,0.477458459,0.129389406,-0.183681169,0.093331111,0.01779906,0.265171906,0.232076138,0.063941397
2011,-0.135648781,1.021138181,0.183585155,0.294442176,-0.055666185,0.136124672,-0.019529205,0.181977007,0.1838864,0.075366656
2012,0.135412652,-0.404404795,-0.449043402,-0.014690764,0.268027177,0.242382092,0.023073463,0.240154464,0.118203724,0.127996948
2013,-0.030151026,-0.020628235,0.030705188,-0.022121002,0.242734297,0.042389582,0.190490706,0.026451593,0.207456809,0.165254978
2014,-0.093747762,0.713209064,-0.200284506,0.190627079,-0.151203848,0.161873611,0.20495897,0.236562191,0.157036463,0.16042155
2015,-0.01842724,-0.072747106,0.316373673,0.170672541,0.219017853,-0.070442919,0.151378659,0.369943259,0.144588286,0.196208212
2016,-0.032787234,0.086914122,-0.149824311,-0.016577842,0.616813864,-0.050405369,0.045119519,0.08606969,0.097582546,0.188436406
2017,0.030045401,-0.295539979,0.456225788,-0.160110445,0.040500903,-0.042834796,0.307329331,0.009476917,0.079089471,0.081180773
2018,-0.031547983,0.060057824,-0.062861178,-0.001769397,-0.017597343,-0.02678708,0.030017638,0.033861535,0.151285823,0.152974327
