year,county,state,production
2017,Cleveland County,OK,2446
2017,Tulsa County,OK,6372
2017,Oklahoma County,OK,26393
2017,McCurtain County,OK,260
2017,Pittsburg County,OK,17000
2017,Payne County,OK,300
2017,Bryan County,OK,100
2017,Kay County,OK,45
2017,Travis County,TX,114331
2017,Harris County,TX,108227
2017,Dallas County,TX,89530
2017,Comal County,TX,1305
2017,Grayson County,TX,2255
2017,Hays County,TX,6201
2017,Bexar County,TX,23596
2017,Gillespie County,TX,2640
2017,Camp County,TX,20
2017,Denton County,TX,1910
2017,Henderson County,TX,2375
2017,Nueces County,TX,1219
2017,Montgomery County,TX,24721
2017,Waller County,TX,121
2017,Brazoria County,TX,1248
2017,Bandera County,TX,10
2017,McLennan County,TX,345
2017,Kerr County,TX,4
2017,Brazos County,TX,1705
2017,Galveston County,TX,4105
2017,Hidalgo County,TX,720
2017,Randall County,TX,925
2017,El Paso County,TX,1341
2017,Williamson County,TX,6929
2017,Kendall County,TX,798
2017,Washington County,TX,2986
2017,Guadalupe County,TX,535
2017,Tarrant County,TX,21589
2017,Burnet County,TX,1035
2017,Tom Green County,TX,348
2017,Smith County,TX,1105
2017,Collin County,TX,10057
2017,Nacogdoches County,TX,317
2017,Rockwall County,TX,745
2017,Runnels County,TX,231
2017,Austin County,TX,82
2017,Hunt County,TX,20
2017,Jefferson County,TX,100
2017,Gregg County,TX,100
2017,Cameron County,TX,317
2017,Taylor County,TX,375
2017,Blanco County,TX,53864
2017,Eastland County,TX,70
2017,Houston County,TX,90
2017,Fort Bend County,TX,126
2017,Lubbock County,TX,335
2017,Jefferson County,WA,2358
2017,King County,WA,243164
2017,Snohomish County,WA,13850
2017,Spokane County,WA,21528
2017,Clark County,WA,11079
2017,Pierce County,WA,31140
2017,Okanogan County,WA,1950
2017,Skagit County,WA,5145
2017,Cowlitz County,WA,436
2017,Whatcom County,WA,19316
2017,Benton County,WA,3548
2017,Skamania County,WA,7569
2017,Chelan County,WA,6082
2017,Kitsap County,WA,26290
2017,Yakima County,WA,26547
2017,Clallam County,WA,352
2017,Grays Harbor County,WA,363
2017,Walla Walla County,WA,783
2017,Thurston County,WA,13327
2017,Columbia County,WA,169
2017,Lewis County,WA,1943
2017,Island County,WA,1395
2017,Kittitas County,WA,27664
2017,Klickitat County,WA,5775
2017,San Juan County,WA,1188
2017,Mason County,WA,13
2017,Pacific County,WA,863
2017,Stevens County,WA,542
2017,Whitman County,WA,968
2017,Ferry County,WA,406
2017,Wahkiakum County,WA,203
2017,Asotin County,WA,693
2017,Lincoln County,WA,198
2017,Pend Oreille County,WA,77
2017,Sonoma County,CA,113420
2017,Ventura County,CA,10325
2017,Mariposa County,CA,155
2017,Alameda County,CA,205945
2017,San Diego County,CA,888943
2017,San Bernardino County,CA,44160
2017,San Mateo County,CA,7103
2017,Fresno County,CA,11893
2017,San Luis Obispo County,CA,17736
